Index,Name,Old Price,Current Price,Normalized Price,Rate,Votes,Link,Link to loc.
0,Central Unite management Ltd,N/A,2898,161.0,7.3,136,https://www.booking.com/hotel/gb/central-unite-management-ltd.pl.html?aid=304142&label=gen173nr-1FCAQoggJCCmRpc3RyaWN0X1hIHlgEaLYBiAEBmAEeuAEXyAEM2AEB6AEB-AEDiAIBqAIDuAKou4KzBsACAdICJDIxYWM2ZTQ1LWNiYWQtNGFjYi04ODk0LWNjMWI1ZmM2MTYzNNgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-06-06&checkout=2024-06-15&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=385f79944d5403d1&srepoch=1717607852&all_sr_blocks=500865101_173825192_0_0_0&highlighted_blocks=500865101_173825192_0_0_0&matching_block_id=500865101_173825192_0_0_0&sr_pri_blocks=500865101_173825192_0_0_0__57275&from=searchresults,https://www.booking.com/hotel/gb/central-unite-management-ltd.pl.html?aid=304142&label=gen173nr-1FCAQoggJCCmRpc3RyaWN0X1hIHlgEaLYBiAEBmAEeuAEXyAEM2AEB6AEB-AEDiAIBqAIDuAKou4KzBsACAdICJDIxYWM2ZTQ1LWNiYWQtNGFjYi04ODk0LWNjMWI1ZmM2MTYzNNgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-06-06&checkout=2024-06-15&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=385f79944d5403d1&srepoch=1717607852&all_sr_blocks=500865101_173825192_0_0_0&highlighted_blocks=500865101_173825192_0_0_0&matching_block_id=500865101_173825192_0_0_0&sr_pri_blocks=500865101_173825192_0_0_0__57275&from=searchresults&map=1
1,the niu Loom,4546,4092,227.33333333333334,8.7,7158,https://www.booking.com/hotel/gb/the-niu-loom.pl.html?aid=304142&label=gen173nr-1FCAQoggJCCmRpc3RyaWN0X1hIHlgEaLYBiAEBmAEeuAEXyAEM2AEB6AEB-AEDiAIBqAIDuAKou4KzBsACAdICJDIxYWM2ZTQ1LWNiYWQtNGFjYi04ODk0LWNjMWI1ZmM2MTYzNNgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-06-06&checkout=2024-06-15&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=385f79944d5403d1&srepoch=1717607852&all_sr_blocks=561902201_211317421_0_2_0&highlighted_blocks=561902201_211317421_0_2_0&matching_block_id=561902201_211317421_0_2_0&sr_pri_blocks=561902201_211317421_0_2_0__80878&from_sustainable_property_sr=1&from=searchresults,https://www.booking.com/hotel/gb/the-niu-loom.pl.html?aid=304142&label=gen173nr-1FCAQoggJCCmRpc3RyaWN0X1hIHlgEaLYBiAEBmAEeuAEXyAEM2AEB6AEB-AEDiAIBqAIDuAKou4KzBsACAdICJDIxYWM2ZTQ1LWNiYWQtNGFjYi04ODk0LWNjMWI1ZmM2MTYzNNgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-06-06&checkout=2024-06-15&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=385f79944d5403d1&srepoch=1717607852&all_sr_blocks=561902201_211317421_0_2_0&highlighted_blocks=561902201_211317421_0_2_0&matching_block_id=561902201_211317421_0_2_0&sr_pri_blocks=561902201_211317421_0_2_0__80878&from_sustainable_property_sr=1&from=searchresults&map=1
2,Stay Inn Manchester,3105,2795,155.27777777777777,7.1,3512,https://www.booking.com/hotel/gb/stayinnmanchester.pl.html?aid=304142&label=gen173nr-1FCAQoggJCCmRpc3RyaWN0X1hIHlgEaLYBiAEBmAEeuAEXyAEM2AEB6AEB-AEDiAIBqAIDuAKou4KzBsACAdICJDIxYWM2ZTQ1LWNiYWQtNGFjYi04ODk0LWNjMWI1ZmM2MTYzNNgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-06-06&checkout=2024-06-15&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=385f79944d5403d1&srepoch=1717607852&all_sr_blocks=41055_91909679_0_2_0&highlighted_blocks=41055_91909679_0_2_0&matching_block_id=41055_91909679_0_2_0&sr_pri_blocks=41055_91909679_0_2_0__55244&from=searchresults,https://www.booking.com/hotel/gb/stayinnmanchester.pl.html?aid=304142&label=gen173nr-1FCAQoggJCCmRpc3RyaWN0X1hIHlgEaLYBiAEBmAEeuAEXyAEM2AEB6AEB-AEDiAIBqAIDuAKou4KzBsACAdICJDIxYWM2ZTQ1LWNiYWQtNGFjYi04ODk0LWNjMWI1ZmM2MTYzNNgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-06-06&checkout=2024-06-15&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=385f79944d5403d1&srepoch=1717607852&all_sr_blocks=41055_91909679_0_2_0&highlighted_blocks=41055_91909679_0_2_0&matching_block_id=41055_91909679_0_2_0&sr_pri_blocks=41055_91909679_0_2_0__55244&from=searchresults&map=1
3,Adelphi Wharf Apartments by Beehosting,4921,4429,246.05555555555554,7.9,478,https://www.booking.com/hotel/gb/adelphi-wharf-apartments-by-beehosting.pl.html?aid=304142&label=gen173nr-1FCAQoggJCCmRpc3RyaWN0X1hIHlgEaLYBiAEBmAEeuAEXyAEM2AEB6AEB-AEDiAIBqAIDuAKou4KzBsACAdICJDIxYWM2ZTQ1LWNiYWQtNGFjYi04ODk0LWNjMWI1ZmM2MTYzNNgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-06-06&checkout=2024-06-15&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=385f79944d5403d1&srepoch=1717607852&all_sr_blocks=1143629301_387217604_0_0_0&highlighted_blocks=1143629301_387217604_0_0_0&matching_block_id=1143629301_387217604_0_0_0&sr_pri_blocks=1143629301_387217604_0_0_0__87553&from=searchresults,https://www.booking.com/hotel/gb/adelphi-wharf-apartments-by-beehosting.pl.html?aid=304142&label=gen173nr-1FCAQoggJCCmRpc3RyaWN0X1hIHlgEaLYBiAEBmAEeuAEXyAEM2AEB6AEB-AEDiAIBqAIDuAKou4KzBsACAdICJDIxYWM2ZTQ1LWNiYWQtNGFjYi04ODk0LWNjMWI1ZmM2MTYzNNgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-06-06&checkout=2024-06-15&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=385f79944d5403d1&srepoch=1717607852&all_sr_blocks=1143629301_387217604_0_0_0&highlighted_blocks=1143629301_387217604_0_0_0&matching_block_id=1143629301_387217604_0_0_0&sr_pri_blocks=1143629301_387217604_0_0_0__87553&from=searchresults&map=1
4,ibis budget Manchester Salford Quays,N/A,4214,234.11111111111111,7.1,222,https://www.booking.com/hotel/gb/etap-manchester-salford-quays.pl.html?aid=304142&label=gen173nr-1FCAQoggJCCmRpc3RyaWN0X1hIHlgEaLYBiAEBmAEeuAEXyAEM2AEB6AEB-AEDiAIBqAIDuAKou4KzBsACAdICJDIxYWM2ZTQ1LWNiYWQtNGFjYi04ODk0LWNjMWI1ZmM2MTYzNNgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-06-06&checkout=2024-06-15&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=385f79944d5403d1&srepoch=1717607852&all_sr_blocks=30058102_376292902_2_2_0&highlighted_blocks=30058102_376292902_2_2_0&matching_block_id=30058102_376292902_2_2_0&sr_pri_blocks=30058102_376292902_2_2_0__83300&from=searchresults,https://www.booking.com/hotel/gb/etap-manchester-salford-quays.pl.html?aid=304142&label=gen173nr-1FCAQoggJCCmRpc3RyaWN0X1hIHlgEaLYBiAEBmAEeuAEXyAEM2AEB6AEB-AEDiAIBqAIDuAKou4KzBsACAdICJDIxYWM2ZTQ1LWNiYWQtNGFjYi04ODk0LWNjMWI1ZmM2MTYzNNgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-06-06&checkout=2024-06-15&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=385f79944d5403d1&srepoch=1717607852&all_sr_blocks=30058102_376292902_2_2_0&highlighted_blocks=30058102_376292902_2_2_0&matching_block_id=30058102_376292902_2_2_0&sr_pri_blocks=30058102_376292902_2_2_0__83300&from=searchresults&map=1
5,Bankwell Guest House,N/A,2636,146.44444444444446,7.6,951,https://www.booking.com/hotel/gb/bankwell-guest-house.pl.html?aid=304142&label=gen173nr-1FCAQoggJCCmRpc3RyaWN0X1hIHlgEaLYBiAEBmAEeuAEXyAEM2AEB6AEB-AEDiAIBqAIDuAKou4KzBsACAdICJDIxYWM2ZTQ1LWNiYWQtNGFjYi04ODk0LWNjMWI1ZmM2MTYzNNgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-06-06&checkout=2024-06-15&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=385f79944d5403d1&srepoch=1717607852&all_sr_blocks=780742901_336490579_2_0_0&highlighted_blocks=780742901_336490579_2_0_0&matching_block_id=780742901_336490579_2_0_0&sr_pri_blocks=780742901_336490579_2_0_0__52100&from_sustainable_property_sr=1&from=searchresults,https://www.booking.com/hotel/gb/bankwell-guest-house.pl.html?aid=304142&label=gen173nr-1FCAQoggJCCmRpc3RyaWN0X1hIHlgEaLYBiAEBmAEeuAEXyAEM2AEB6AEB-AEDiAIBqAIDuAKou4KzBsACAdICJDIxYWM2ZTQ1LWNiYWQtNGFjYi04ODk0LWNjMWI1ZmM2MTYzNNgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-06-06&checkout=2024-06-15&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=385f79944d5403d1&srepoch=1717607852&all_sr_blocks=780742901_336490579_2_0_0&highlighted_blocks=780742901_336490579_2_0_0&matching_block_id=780742901_336490579_2_0_0&sr_pri_blocks=780742901_336490579_2_0_0__52100&from_sustainable_property_sr=1&from=searchresults&map=1
6,Rustic Ebony Suite With Free Parking,3983,3597,199.83333333333334,8.7,37,https://www.booking.com/hotel/gb/rustic-ebony-suite-with-parking.pl.html?aid=304142&label=gen173nr-1FCAQoggJCCmRpc3RyaWN0X1hIHlgEaLYBiAEBmAEeuAEXyAEM2AEB6AEB-AEDiAIBqAIDuAKou4KzBsACAdICJDIxYWM2ZTQ1LWNiYWQtNGFjYi04ODk0LWNjMWI1ZmM2MTYzNNgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-06-06&checkout=2024-06-15&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=385f79944d5403d1&srepoch=1717607852&all_sr_blocks=973345104_389485429_2_0_0&highlighted_blocks=973345104_389485429_2_0_0&matching_block_id=973345104_389485429_2_0_0&sr_pri_blocks=973345104_389485429_2_0_0__71107&from_sustainable_property_sr=1&from=searchresults,https://www.booking.com/hotel/gb/rustic-ebony-suite-with-parking.pl.html?aid=304142&label=gen173nr-1FCAQoggJCCmRpc3RyaWN0X1hIHlgEaLYBiAEBmAEeuAEXyAEM2AEB6AEB-AEDiAIBqAIDuAKou4KzBsACAdICJDIxYWM2ZTQ1LWNiYWQtNGFjYi04ODk0LWNjMWI1ZmM2MTYzNNgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-06-06&checkout=2024-06-15&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=385f79944d5403d1&srepoch=1717607852&all_sr_blocks=973345104_389485429_2_0_0&highlighted_blocks=973345104_389485429_2_0_0&matching_block_id=973345104_389485429_2_0_0&sr_pri_blocks=973345104_389485429_2_0_0__71107&from_sustainable_property_sr=1&from=searchresults&map=1
7,Apartology Central Manchester,4325,3893,216.27777777777777,6.6,15,https://www.booking.com/hotel/gb/rooms-central-manchester.pl.html?aid=304142&label=gen173nr-1FCAQoggJCCmRpc3RyaWN0X1hIHlgEaLYBiAEBmAEeuAEXyAEM2AEB6AEB-AEDiAIBqAIDuAKou4KzBsACAdICJDIxYWM2ZTQ1LWNiYWQtNGFjYi04ODk0LWNjMWI1ZmM2MTYzNNgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-06-06&checkout=2024-06-15&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=385f79944d5403d1&srepoch=1717607852&all_sr_blocks=1169517702_389833343_2_0_0&highlighted_blocks=1169517702_389833343_2_0_0&matching_block_id=1169517702_389833343_2_0_0&sr_pri_blocks=1169517702_389833343_2_0_0__76950&from=searchresults,https://www.booking.com/hotel/gb/rooms-central-manchester.pl.html?aid=304142&label=gen173nr-1FCAQoggJCCmRpc3RyaWN0X1hIHlgEaLYBiAEBmAEeuAEXyAEM2AEB6AEB-AEDiAIBqAIDuAKou4KzBsACAdICJDIxYWM2ZTQ1LWNiYWQtNGFjYi04ODk0LWNjMWI1ZmM2MTYzNNgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-06-06&checkout=2024-06-15&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=385f79944d5403d1&srepoch=1717607852&all_sr_blocks=1169517702_389833343_2_0_0&highlighted_blocks=1169517702_389833343_2_0_0&matching_block_id=1169517702_389833343_2_0_0&sr_pri_blocks=1169517702_389833343_2_0_0__76950&from=searchresults&map=1
8,CitySuites 2 Aparthotel,11038,9939,552.1666666666666,9.1,5624,https://www.booking.com/hotel/gb/citysuites-2.pl.html?aid=304142&label=gen173nr-1FCAQoggJCCmRpc3RyaWN0X1hIHlgEaLYBiAEBmAEeuAEXyAEM2AEB6AEB-AEDiAIBqAIDuAKou4KzBsACAdICJDIxYWM2ZTQ1LWNiYWQtNGFjYi04ODk0LWNjMWI1ZmM2MTYzNNgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-06-06&checkout=2024-06-15&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=385f79944d5403d1&srepoch=1717607852&all_sr_blocks=735697403_327616073_4_34_0&highlighted_blocks=735697403_327616073_4_34_0&matching_block_id=735697403_327616073_4_34_0&sr_pri_blocks=735697403_327616073_4_34_0__196467&from_sustainable_property_sr=1&from=searchresults,https://www.booking.com/hotel/gb/citysuites-2.pl.html?aid=304142&label=gen173nr-1FCAQoggJCCmRpc3RyaWN0X1hIHlgEaLYBiAEBmAEeuAEXyAEM2AEB6AEB-AEDiAIBqAIDuAKou4KzBsACAdICJDIxYWM2ZTQ1LWNiYWQtNGFjYi04ODk0LWNjMWI1ZmM2MTYzNNgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-06-06&checkout=2024-06-15&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=385f79944d5403d1&srepoch=1717607852&all_sr_blocks=735697403_327616073_4_34_0&highlighted_blocks=735697403_327616073_4_34_0&matching_block_id=735697403_327616073_4_34_0&sr_pri_blocks=735697403_327616073_4_34_0__196467&from_sustainable_property_sr=1&from=searchresults&map=1
9,CitySuites Aparthotel,6108,5503,305.72222222222223,8.7,7313,https://www.booking.com/hotel/gb/citysuites.pl.html?aid=304142&label=gen173nr-1FCAQoggJCCmRpc3RyaWN0X1hIHlgEaLYBiAEBmAEeuAEXyAEM2AEB6AEB-AEDiAIBqAIDuAKou4KzBsACAdICJDIxYWM2ZTQ1LWNiYWQtNGFjYi04ODk0LWNjMWI1ZmM2MTYzNNgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-06-06&checkout=2024-06-15&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=11&sr_order=popularity&srpvid=385f79944d5403d1&srepoch=1717607852&all_sr_blocks=207775902_378220947_2_34_0&highlighted_blocks=207775902_378220947_2_34_0&matching_block_id=207775902_378220947_2_34_0&sr_pri_blocks=207775902_378220947_2_34_0__108773&from_sustainable_property_sr=1&from=searchresults,https://www.booking.com/hotel/gb/citysuites.pl.html?aid=304142&label=gen173nr-1FCAQoggJCCmRpc3RyaWN0X1hIHlgEaLYBiAEBmAEeuAEXyAEM2AEB6AEB-AEDiAIBqAIDuAKou4KzBsACAdICJDIxYWM2ZTQ1LWNiYWQtNGFjYi04ODk0LWNjMWI1ZmM2MTYzNNgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-06-06&checkout=2024-06-15&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=11&sr_order=popularity&srpvid=385f79944d5403d1&srepoch=1717607852&all_sr_blocks=207775902_378220947_2_34_0&highlighted_blocks=207775902_378220947_2_34_0&matching_block_id=207775902_378220947_2_34_0&sr_pri_blocks=207775902_378220947_2_34_0__108773&from_sustainable_property_sr=1&from=searchresults&map=1
10,OX Hotel Manchester,N/A,2681,148.94444444444446,7.2,4925,https://www.booking.com/hotel/gb/milton-manchester.pl.html?aid=304142&label=gen173nr-1FCAQoggJCCmRpc3RyaWN0X1hIHlgEaLYBiAEBmAEeuAEXyAEM2AEB6AEB-AEDiAIBqAIDuAKou4KzBsACAdICJDIxYWM2ZTQ1LWNiYWQtNGFjYi04ODk0LWNjMWI1ZmM2MTYzNNgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-06-06&checkout=2024-06-15&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=12&hapos=12&sr_order=popularity&srpvid=385f79944d5403d1&srepoch=1717607852&all_sr_blocks=243543709_102098736_2_2_0&highlighted_blocks=243543709_102098736_2_2_0&matching_block_id=243543709_102098736_2_2_0&sr_pri_blocks=243543709_102098736_2_2_0__53000&from_sustainable_property_sr=1&from=searchresults,https://www.booking.com/hotel/gb/milton-manchester.pl.html?aid=304142&label=gen173nr-1FCAQoggJCCmRpc3RyaWN0X1hIHlgEaLYBiAEBmAEeuAEXyAEM2AEB6AEB-AEDiAIBqAIDuAKou4KzBsACAdICJDIxYWM2ZTQ1LWNiYWQtNGFjYi04ODk0LWNjMWI1ZmM2MTYzNNgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-06-06&checkout=2024-06-15&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=12&hapos=12&sr_order=popularity&srpvid=385f79944d5403d1&srepoch=1717607852&all_sr_blocks=243543709_102098736_2_2_0&highlighted_blocks=243543709_102098736_2_2_0&matching_block_id=243543709_102098736_2_2_0&sr_pri_blocks=243543709_102098736_2_2_0__53000&from_sustainable_property_sr=1&from=searchresults&map=1
11,Suite 2 - Chic Private Room near City Centre,2873,2403,133.5,5.5,10,https://www.booking.com/hotel/gb/cosy-private-room-7mins-away-from-cc.pl.html?aid=304142&label=gen173nr-1FCAQoggJCCmRpc3RyaWN0X1hIHlgEaLYBiAEBmAEeuAEXyAEM2AEB6AEB-AEDiAIBqAIDuAKou4KzBsACAdICJDIxYWM2ZTQ1LWNiYWQtNGFjYi04ODk0LWNjMWI1ZmM2MTYzNNgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-06-06&checkout=2024-06-15&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=13&sr_order=popularity&srpvid=385f79944d5403d1&srepoch=1717607852&all_sr_blocks=910703401_362350221_2_0_0&highlighted_blocks=910703401_362350221_2_0_0&matching_block_id=910703401_362350221_2_0_0&sr_pri_blocks=910703401_362350221_2_0_0__47502&from=searchresults,https://www.booking.com/hotel/gb/cosy-private-room-7mins-away-from-cc.pl.html?aid=304142&label=gen173nr-1FCAQoggJCCmRpc3RyaWN0X1hIHlgEaLYBiAEBmAEeuAEXyAEM2AEB6AEB-AEDiAIBqAIDuAKou4KzBsACAdICJDIxYWM2ZTQ1LWNiYWQtNGFjYi04ODk0LWNjMWI1ZmM2MTYzNNgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-06-06&checkout=2024-06-15&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=13&sr_order=popularity&srpvid=385f79944d5403d1&srepoch=1717607852&all_sr_blocks=910703401_362350221_2_0_0&highlighted_blocks=910703401_362350221_2_0_0&matching_block_id=910703401_362350221_2_0_0&sr_pri_blocks=910703401_362350221_2_0_0__47502&from=searchresults&map=1
12,Hyatt House Manchester,N/A,5138,285.44444444444446,9.1,1233,https://www.booking.com/hotel/gb/hyatt-house-manchester.pl.html?aid=304142&label=gen173nr-1FCAQoggJCCmRpc3RyaWN0X1hIHlgEaLYBiAEBmAEeuAEXyAEM2AEB6AEB-AEDiAIBqAIDuAKou4KzBsACAdICJDIxYWM2ZTQ1LWNiYWQtNGFjYi04ODk0LWNjMWI1ZmM2MTYzNNgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-06-06&checkout=2024-06-15&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=14&hapos=14&sr_order=popularity&srpvid=385f79944d5403d1&srepoch=1717607852&all_sr_blocks=311057908_263833313_2_1_0&highlighted_blocks=311057908_263833313_2_1_0&matching_block_id=311057908_263833313_2_1_0&sr_pri_blocks=311057908_263833313_2_1_0__101565&from_sustainable_property_sr=1&from=searchresults,https://www.booking.com/hotel/gb/hyatt-house-manchester.pl.html?aid=304142&label=gen173nr-1FCAQoggJCCmRpc3RyaWN0X1hIHlgEaLYBiAEBmAEeuAEXyAEM2AEB6AEB-AEDiAIBqAIDuAKou4KzBsACAdICJDIxYWM2ZTQ1LWNiYWQtNGFjYi04ODk0LWNjMWI1ZmM2MTYzNNgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-06-06&checkout=2024-06-15&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=14&hapos=14&sr_order=popularity&srpvid=385f79944d5403d1&srepoch=1717607852&all_sr_blocks=311057908_263833313_2_1_0&highlighted_blocks=311057908_263833313_2_1_0&matching_block_id=311057908_263833313_2_1_0&sr_pri_blocks=311057908_263833313_2_1_0__101565&from_sustainable_property_sr=1&from=searchresults&map=1
13,Airport Hotel Manchester,N/A,2828,157.11111111111111,6.4,1814,https://www.booking.com/hotel/gb/britannia-airport-hotel.pl.html?aid=304142&label=gen173nr-1FCAQoggJCCmRpc3RyaWN0X1hIHlgEaLYBiAEBmAEeuAEXyAEM2AEB6AEB-AEDiAIBqAIDuAKou4KzBsACAdICJDIxYWM2ZTQ1LWNiYWQtNGFjYi04ODk0LWNjMWI1ZmM2MTYzNNgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-06-06&checkout=2024-06-15&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=15&sr_order=popularity&srpvid=385f79944d5403d1&srepoch=1717607852&all_sr_blocks=11208942_394235195_2_34_0&highlighted_blocks=11208942_394235195_2_34_0&matching_block_id=11208942_394235195_2_34_0&sr_pri_blocks=11208942_394235195_2_34_0__55900&from=searchresults,https://www.booking.com/hotel/gb/britannia-airport-hotel.pl.html?aid=304142&label=gen173nr-1FCAQoggJCCmRpc3RyaWN0X1hIHlgEaLYBiAEBmAEeuAEXyAEM2AEB6AEB-AEDiAIBqAIDuAKou4KzBsACAdICJDIxYWM2ZTQ1LWNiYWQtNGFjYi04ODk0LWNjMWI1ZmM2MTYzNNgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-06-06&checkout=2024-06-15&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=15&sr_order=popularity&srpvid=385f79944d5403d1&srepoch=1717607852&all_sr_blocks=11208942_394235195_2_34_0&highlighted_blocks=11208942_394235195_2_34_0&matching_block_id=11208942_394235195_2_34_0&sr_pri_blocks=11208942_394235195_2_34_0__55900&from=searchresults&map=1
14,Maldron Hotel Manchester Cathedral Quarter,N/A,6765,375.8333333333333,9.6,11,https://www.booking.com/hotel/gb/maldron-cathedral-quarter-manchester-city-manchester-city.pl.html?aid=304142&label=gen173nr-1FCAQoggJCCmRpc3RyaWN0X1hIHlgEaLYBiAEBmAEeuAEXyAEM2AEB6AEB-AEDiAIBqAIDuAKou4KzBsACAdICJDIxYWM2ZTQ1LWNiYWQtNGFjYi04ODk0LWNjMWI1ZmM2MTYzNNgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-06-06&checkout=2024-06-15&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=16&hapos=16&sr_order=popularity&srpvid=385f79944d5403d1&srepoch=1717607852&all_sr_blocks=1151747402_387970661_2_2_0&highlighted_blocks=1151747402_387970661_2_2_0&matching_block_id=1151747402_387970661_2_2_0&sr_pri_blocks=1151747402_387970661_2_2_0__133720&from=searchresults,https://www.booking.com/hotel/gb/maldron-cathedral-quarter-manchester-city-manchester-city.pl.html?aid=304142&label=gen173nr-1FCAQoggJCCmRpc3RyaWN0X1hIHlgEaLYBiAEBmAEeuAEXyAEM2AEB6AEB-AEDiAIBqAIDuAKou4KzBsACAdICJDIxYWM2ZTQ1LWNiYWQtNGFjYi04ODk0LWNjMWI1ZmM2MTYzNNgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-06-06&checkout=2024-06-15&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=16&hapos=16&sr_order=popularity&srpvid=385f79944d5403d1&srepoch=1717607852&all_sr_blocks=1151747402_387970661_2_2_0&highlighted_blocks=1151747402_387970661_2_2_0&matching_block_id=1151747402_387970661_2_2_0&sr_pri_blocks=1151747402_387970661_2_2_0__133720&from=searchresults&map=1
15,ibis Budget Manchester Centre Pollard Street,N/A,4642,257.8888888888889,7.1,8772,https://www.booking.com/hotel/gb/ibis-budget-manchester-centre.pl.html?aid=304142&label=gen173nr-1FCAQoggJCCmRpc3RyaWN0X1hIHlgEaLYBiAEBmAEeuAEXyAEM2AEB6AEB-AEDiAIBqAIDuAKou4KzBsACAdICJDIxYWM2ZTQ1LWNiYWQtNGFjYi04ODk0LWNjMWI1ZmM2MTYzNNgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-06-06&checkout=2024-06-15&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=17&hapos=17&sr_order=popularity&srpvid=385f79944d5403d1&srepoch=1717607852&all_sr_blocks=53979502_376291295_2_2_0&highlighted_blocks=53979502_376291295_2_2_0&matching_block_id=53979502_376291295_2_2_0&sr_pri_blocks=53979502_376291295_2_2_0__91760&from=searchresults,https://www.booking.com/hotel/gb/ibis-budget-manchester-centre.pl.html?aid=304142&label=gen173nr-1FCAQoggJCCmRpc3RyaWN0X1hIHlgEaLYBiAEBmAEeuAEXyAEM2AEB6AEB-AEDiAIBqAIDuAKou4KzBsACAdICJDIxYWM2ZTQ1LWNiYWQtNGFjYi04ODk0LWNjMWI1ZmM2MTYzNNgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-06-06&checkout=2024-06-15&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=17&hapos=17&sr_order=popularity&srpvid=385f79944d5403d1&srepoch=1717607852&all_sr_blocks=53979502_376291295_2_2_0&highlighted_blocks=53979502_376291295_2_2_0&matching_block_id=53979502_376291295_2_2_0&sr_pri_blocks=53979502_376291295_2_2_0__91760&from=searchresults&map=1
